year,body,kind,description
-174,Uranus,due-east,Uranus rises due east over Giza
-172,Jupiter,due-east,Jupiter rises due east over Giza
-169,Saturn,due-east,Saturn rises due east over Giza
-166,Jupiter,due-east,Jupiter rises due east over Giza
-160,Jupiter,due-east,Jupiter rises due east over Giza
-159,Sun,eclipse-annular,"Annular solar eclipse over Giza, -159-12-29"
-154,Jupiter,due-east,Jupiter rises due east over Giza
-154,Saturn,due-east,Saturn rises due east over Giza
-148,Jupiter,due-east,Jupiter rises due east over Giza
-142,Jupiter,due-east,Jupiter rises due east over Giza
-140,Saturn,due-east,Saturn rises due east over Giza
-136,Jupiter,due-east,Jupiter rises due east over Giza
-132,Uranus,due-east,Uranus rises due east over Giza
-130,Jupiter,due-east,Jupiter rises due east over Giza
