year,body,kind,description
-1577,Jupiter,due-east,Jupiter rises due east over Giza
-1572,Jupiter,due-east,Jupiter rises due east over Giza
-1568,Saturn,due-east,Saturn rises due east over Giza
-1565,Jupiter,due-east,Jupiter rises due east over Giza
-1560,Jupiter,due-east,Jupiter rises due east over Giza
-1560,Uranus,due-east,Uranus rises due east over Giza
-1554,Jupiter,due-east,Jupiter rises due east over Giza
-1554,Saturn,due-east,Saturn rises due east over Giza
-1548,Jupiter,due-east,Jupiter rises due east over Giza
-1542,Jupiter,due-east,Jupiter rises due east over Giza
-1538,Saturn,due-east,Saturn rises due east over Giza
-1536,Jupiter,due-east,Jupiter rises due east over Giza
-1530,Jupiter,due-east,Jupiter rises due east over Giza
-1524,Jupiter,due-east,Jupiter rises due east over Giza
-1524,Saturn,due-east,Saturn rises due east over Giza
-1518,Jupiter,due-east,Jupiter rises due east over Giza
-1518,Uranus,due-east,Uranus rises due east over Giza
-1516,Neptune,due-east,Neptune rises due east over Giza
-1512,Jupiter,due-east,Jupiter rises due east over Giza
-1509,Saturn,due-east,Saturn rises due east over Giza
-1506,Jupiter,due-east,Jupiter rises due east over Giza
-1501,Jupiter,due-east,Jupiter rises due east over Giza
-1495,Saturn,due-east,Saturn rises due east over Giza
-1494,Jupiter,due-east,Jupiter rises due east over Giza
-1489,Jupiter,due-east,Jupiter rises due east over Giza
-1482,Jupiter,due-east,Jupiter rises due east over Giza
-1480,Saturn,due-east,Saturn rises due east over Giza
-1477,Jupiter,due-east,Jupiter rises due east over Giza
-1476,Uranus,due-east,Uranus rises due east over Giza
-1470,Jupiter,due-east,Jupiter rises due east over Giza
-1465,Jupiter,due-east,Jupiter rises due east over Giza
-1465,Saturn,due-east,Saturn rises due east over Giza
-1461,Sun,eclipse-annular,"Annular solar eclipse over Giza, -1461-12-15"
-1459,Jupiter,due-east,Jupiter rises due east over Giza
-1453,Jupiter,due-east,Jupiter rises due east over Giza
-1450,Saturn,due-east,Saturn rises due east over Giza
-1447,Jupiter,due-east,Jupiter rises due east over Giza
-1441,Jupiter,due-east,Jupiter rises due east over Giza
-1436,Saturn,due-east,Saturn rises due east over Giza
-1435,Jupiter,due-east,Jupiter rises due east over Giza
-1434,Neptune,due-east,Neptune rises due east over Giza
-1434,Uranus,due-east,Uranus rises due east over Giza
-1429,Jupiter,due-east,Jupiter rises due east over Giza
-1423,Jupiter,due-east,Jupiter rises due east over Giza
-1421,Saturn,due-east,Saturn rises due east over Giza
-1418,Jupiter,due-east,Jupiter rises due east over Giza
-1411,Jupiter,due-east,Jupiter rises due east over Giza
-1409,Sun,eclipse-annular,"Annular solar eclipse over Giza, -1409-09-12"
-1407,Saturn,due-east,Saturn rises due east over Giza
-1406,Jupiter,due-east,Jupiter rises due east over Giza
-1399,Jupiter,due-east,Jupiter rises due east over Giza
-1394,Jupiter,due-east,Jupiter rises due east over Giza
-1392,Uranus,due-east,Uranus rises due east over Giza
-1391,Saturn,due-east,Saturn rises due east over Giza
-1387,Jupiter,due-east,Jupiter rises due east over Giza
-1382,Jupiter,due-east,Jupiter rises due east over Giza
-1377,Saturn,due-east,Saturn rises due east over Giza
-1376,Jupiter,due-east,Jupiter rises due east over Giza
-1370,Jupiter,due-east,Jupiter rises due east over Giza
-1364,Jupiter,due-east,Jupiter rises due east over Giza
-1362,Saturn,due-east,Saturn rises due east over Giza
-1358,Jupiter,due-east,Jupiter rises due east over Giza
-1352,Jupiter,due-east,Jupiter rises due east over Giza
-1351,Neptune,due-east,Neptune rises due east over Giza
-1350,Uranus,due-east,Uranus rises due east over Giza
-1348,Saturn,due-east,Saturn rises due east over Giza
-1346,Jupiter,due-east,Jupiter rises due east over Giza
-1340,Jupiter,due-east,Jupiter rises due east over Giza
-1335,Jupiter,due-east,Jupiter rises due east over Giza
-1332,Saturn,due-east,Saturn rises due east over Giza
-1328,Jupiter,due-east,Jupiter rises due east over Giza
-1323,Jupiter,due-east,Jupiter rises due east over Giza
-1318,Saturn,due-east,Saturn rises due east over Giza
-1316,Jupiter,due-east,Jupiter rises due east over Giza
-1311,Jupiter,due-east,Jupiter rises due east over Giza
-1308,Uranus,due-east,Uranus rises due east over Giza
-1304,Jupiter,due-east,Jupiter rises due east over Giza
-1303,Saturn,due-east,Saturn rises due east over Giza
-1299,Jupiter,due-east,Jupiter rises due east over Giza
-1293,Jupiter,due-east,Jupiter rises due east over Giza
-1289,Saturn,due-east,Saturn rises due east over Giza
-1287,Jupiter,due-east,Jupiter rises due east over Giza
-1281,Jupiter,due-east,Jupiter rises due east over Giza
-1275,Jupiter,due-east,Jupiter rises due east over Giza
-1273,Saturn,due-east,Saturn rises due east over Giza
-1269,Jupiter,due-east,Jupiter rises due east over Giza
-1269,Neptune,due-east,Neptune rises due east over Giza
-1266,Uranus,due-east,Uranus rises due east over Giza
-1263,Jupiter,due-east,Jupiter rises due east over Giza
-1259,Saturn,due-east,Saturn rises due east over Giza
-1257,Jupiter,due-east,Jupiter rises due east over Giza
-1251,Jupiter,due-east,Jupiter rises due east over Giza
-1246,Sun,eclipse-annular,"Annular solar eclipse over Giza, -1246-12-09"
-1245,Jupiter,due-east,Jupiter rises due east over Giza
-1244,Saturn,due-east,Saturn rises due east over Giza
-1240,Jupiter,due-east,Jupiter rises due east over Giza
-1233,Jupiter,due-east,Jupiter rises due east over Giza
-1230,Saturn,due-east,Saturn rises due east over Giza
-1228,Jupiter,due-east,Jupiter rises due east over Giza
-1224,Uranus,due-east,Uranus rises due east over Giza
-1221,Jupiter,due-east,Jupiter rises due east over Giza
-1216,Jupiter,due-east,Jupiter rises due east over Giza
-1214,Saturn,due-east,Saturn rises due east over Giza
-1210,Jupiter,due-east,Jupiter rises due east over Giza
-1206,Sun,eclipse-annular,"Annular solar eclipse over Giza, -1206-10-19"
-1204,Jupiter,due-east,Jupiter rises due east over Giza
-1200,Saturn,due-east,Saturn rises due east over Giza
-1198,Jupiter,due-east,Jupiter rises due east over Giza
-1196,Sun,eclipse-annular,"Annular solar eclipse over Giza, -1196-09-28"
-1192,Jupiter,due-east,Jupiter rises due east over Giza
-1186,Jupiter,due-east,Jupiter rises due east over Giza
-1186,Neptune,due-east,Neptune rises due east over Giza
-1185,Saturn,due-east,Saturn rises due east over Giza
-1182,Uranus,due-east,Uranus rises due east over Giza
-1180,Jupiter,due-east,Jupiter rises due east over Giza
