key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-903021,Ecbatana/Hagmatana/Achmeta/Epiphaneia/Ahmadan,"settlement, archaeological-site",pin,34.80556,48.51641,-1200,2100,0,318.0,https://pleiades.stoa.org/places/903021,
pl-897713,Apphadana,"unlocated, island",wash,30.15803,48.45894,-330,300,0,318.1,https://pleiades.stoa.org/places/897713,
pl-912863,Hung-i Nauruzi/Hung-i Azdar,monument,pin,31.92713,49.84313,-30,300,0,319.4,https://pleiades.stoa.org/places/912863,
pl-912926,Ram Hurmizd,settlement,pin,31.28217,49.60861,-30,640,0,320.9,https://pleiades.stoa.org/places/912926,
pl-915063,Untitled,dam,pin,30.99819,49.43203,300,640,0,321.1,https://pleiades.stoa.org/places/915063,
pl-692884010,Tapah Barmī,"findspot, archaeological-site",pin,31.24132,49.59005,1700,2100,0,321.3,https://pleiades.stoa.org/places/692884010,
pl-912870,Ja Nishin/Soloke?/Seleucia?/Surak?,settlement,pin,30.98722,49.42671,-330,2099,0,321.4,https://pleiades.stoa.org/places/912870,
pl-464734507,Ishkaft Salmān,monument,pin,31.81657,49.84756,1700,2100,0,322.4,https://pleiades.stoa.org/places/464734507,
pl-197229380,Īzah,archaeological-site,pin,31.83870,49.86950,1700,2100,0,323.9,https://pleiades.stoa.org/places/197229380,
pl-894022,[Karkh Firuz]/‘Charcha’,settlement,pin,34.35834,43.79310,-30,640,0,326.8,https://pleiades.stoa.org/places/894022,
pl-344426956,"Yasin Tepe, Sualymaniayh",tell,pin,35.35990,45.64992,-1000,-1,0,327.3,https://pleiades.stoa.org/places/344426956,
pl-656082517,Kūlfaraḥ,monument,pin,31.87149,49.92810,1700,2100,0,328.4,https://pleiades.stoa.org/places/656082517,
pl-140233914,Bestansur,settlement,pin,35.37682,45.64572,-10000,2100,0,329.2,https://pleiades.stoa.org/places/140233914,
pl-894040,[al-Mahuza],settlement,pin,34.40559,43.78627,300,640,0,330.6,https://pleiades.stoa.org/places/894040,
pl-912963,Tell Tendy,settlement,pin,30.85480,49.47160,-550,300,0,332.8,https://pleiades.stoa.org/places/912963,
pl-903738,Untitled,bridge,wash,35.50000,46.50000,-30,640,0,333.0,https://pleiades.stoa.org/places/903738,
pl-903739,Untitled,bridge,wash,35.50000,46.50000,-30,640,0,333.0,https://pleiades.stoa.org/places/903739,
pl-858969850,Qal’eh-i Imam,"fort-2, fort-group, findspot, archaeological-site, castle, settlement",pin,35.48967,46.17784,1300,2100,0,333.2,https://pleiades.stoa.org/places/858969850,
pl-893989,Dura,settlement,pin,34.45901,43.79525,-330,640,0,333.8,https://pleiades.stoa.org/places/893989,
pl-472006569,Tell Tabareh,"settlement, tell",pin,30.80467,49.49975,-300,2099,0,338.0,https://pleiades.stoa.org/places/472006569,
pl-875370975,Bahra 1,settlement,pin,29.63635,47.95522,-6500,-3800,0,345.8,https://pleiades.stoa.org/places/875370975,
pl-912809,Arabia,region,wash,29.50000,45.50000,-750,640,0,345.9,https://pleiades.stoa.org/places/912809,
pl-300354631,al-Kuwait,settlement,wash,29.50000,47.50000,1683,2000,0,345.9,https://pleiades.stoa.org/places/300354631,
pl-903096,Paraetacene (region),"region, label",pin,33.17683,50.12616,-550,300,0,347.7,https://pleiades.stoa.org/places/903096,
pl-894034,Lashom,settlement,pin,35.05958,44.35167,300,640,0,348.1,https://pleiades.stoa.org/places/894034,
pl-349652622,Hazar Merd Cave,cave,pin,35.49392,45.31106,2000,2099,0,350.5,https://pleiades.stoa.org/places/349652622,
pl-893999,Garmakan/Beth Garmai,"region, label",pin,35.25550,44.64930,-30,640,0,351.5,https://pleiades.stoa.org/places/893999,
pl-681126640,Kūnārā,archaeological-site,pin,35.51922,45.35966,1700,2100,0,351.7,https://pleiades.stoa.org/places/681126640,
pl-894099,Takrit/Birta,"settlement, findspot",pin,34.60665,43.67695,-1200,2100,0,352.9,https://pleiades.stoa.org/places/894099,
pl-510671522,Sumere,settlement,wash,34.50000,43.50000,300,640,0,358.0,https://pleiades.stoa.org/places/510671522,
pl-894101,[Tartaru] (river),river,wash,34.50000,43.50000,,,0,358.0,https://pleiades.stoa.org/places/894101,
pl-895438,Untitled,canal,wash,34.50000,43.50000,300,640,0,358.0,https://pleiades.stoa.org/places/895438,
pl-847557245,Gamarga/Gadamala,settlement,wash,35.00664,48.94374,-330,-30,0,360.2,https://pleiades.stoa.org/places/847557245,
pl-56047710,Tall Sītak,"findspot, archaeological-site",pin,35.64190,45.50270,1700,2100,0,361.0,https://pleiades.stoa.org/places/56047710,
pl-743192303,Kānī Shāyah,archaeological-site,pin,35.55796,45.17639,-4000,2100,0,361.3,https://pleiades.stoa.org/places/743192303,
