key,name,kind,tier,lat,lon,km,mentions,sources,in,matched_as,unsearchable_forms,uri,first_seen
pl-570444,Lykosoura,sanctuary (religious center)|settlement,pin,37.38927,22.02997,163.3,0,0,,,0,https://pleiades.stoa.org/places/570444,
pl-570445,Lykouria?,settlement|settlement-modern|map label location,pin,37.90495,22.2309,131.5,0,0,,,0,https://pleiades.stoa.org/places/570445,
pl-570446,Lyrkeia,settlement,pin,37.68664,22.64309,100.8,0,0,,,0,https://pleiades.stoa.org/places/570446,
pl-570447,Lyrkeion (mountain),mountain|map label location,pin,37.70488,22.46107,115.4,0,0,,,0,https://pleiades.stoa.org/places/570447,
pl-570449,Mainalion (mountain),mountain,pin,37.65508,22.2483,135.0,0,0,,,3,https://pleiades.stoa.org/places/570449,
pl-570450,Mainalion Pedion,plain|map label location,pin,37.50189,22.29699,136.7,0,0,,,0,https://pleiades.stoa.org/places/570450,
pl-570451,Mainalos,settlement,pin,37.54949,22.26589,137.3,0,0,,,3,https://pleiades.stoa.org/places/570451,
pl-570452,Makareia,settlement,pin,37.40502,22.07621,158.9,0,0,,,0,https://pleiades.stoa.org/places/570452,
pl-580018,Makaria,spring,pin,38.15999,24.0058,31.3,0,0,,,0,https://pleiades.stoa.org/places/580018,
pl-540925,Makkarai?,"fort, tower (deprecated)",pin,39.20338,22.47255,174.0,0,0,,,0,https://pleiades.stoa.org/places/540925,
pl-540926,Makra Kome,"settlement|fort, tower (deprecated)",pin,38.95733,22.12355,176.7,0,0,,,0,https://pleiades.stoa.org/places/540926,
pl-585128,Makra Teiche,"wall (of a city), city wall",pin,37.96237,23.70261,3.2,0,0,,,0,https://pleiades.stoa.org/places/585128,
pl-820778148,Makri Louri,tower (single),pin,36.97161,24.68757,140.9,0,0,,,0,https://pleiades.stoa.org/places/820778148,
pl-342066276,Makri St. peristyle,archaeological site,pin,37.96873,23.7303,1.7,0,0,,,0,https://pleiades.stoa.org/places/342066276,
pl-496995888,Makrygiannis domus,townhouse,pin,37.96818,23.73015,1.8,0,0,,,0,https://pleiades.stoa.org/places/496995888,
pl-540928,Mali,settlement|acropolis|wall,pin,38.24822,22.89172,78.8,0,0,,,13,https://pleiades.stoa.org/places/540928,
pl-540929,Maliacus Sinus,"water, open",pin,38.86789,22.63377,136.9,0,0,,,0,https://pleiades.stoa.org/places/540929,
pl-570457,Maloitas (river),"river, drainage",pin,37.65622,22.1812,140.6,0,0,,,0,https://pleiades.stoa.org/places/570457,
pl-854812387,Mandra (Despotiko),sanctuary (religious center)|archaeological site|architectural complex,pin,36.97026,25.01547,160.1,0,0,,,0,https://pleiades.stoa.org/places/854812387,
