key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-501484,Krinida,settlement,pin,41.00187,23.99121,-30,300,0,41.2,https://pleiades.stoa.org/places/501484,
pl-491526,Apollonia,"settlement, station",pin,40.62370,23.46968,-550,850,0,41.8,https://pleiades.stoa.org/places/491526,
pl-491615,‘Heracleustibus’,station,pin,40.64954,23.29550,-30,640,0,42.5,https://pleiades.stoa.org/places/491615,
pl-501539,Orbelos (mountain),mountain,pin,41.37700,23.59500,-30,2100,0,42.6,https://pleiades.stoa.org/places/501539,
pl-491582,Dysoron (mountain),"mountain, label",pin,41.16922,23.03081,,,0,43.6,https://pleiades.stoa.org/places/491582,
pl-501582,Prossotsani,settlement,pin,41.17786,23.96661,-30,2099,0,43.8,https://pleiades.stoa.org/places/501582,
pl-501394,Daton,label,pin,40.99701,24.02908,-550,-30,0,44.3,https://pleiades.stoa.org/places/501394,
pl-491643,Krestonia,"region, label",pin,40.84452,23.00601,,,0,44.8,https://pleiades.stoa.org/places/491643,
pl-502837,Untitled,bridge,pin,41.05310,24.03009,-30,640,0,44.8,https://pleiades.stoa.org/places/502837,
pl-491661,Mellissurgin,station,pin,40.61268,23.34579,-30,640,0,44.9,https://pleiades.stoa.org/places/491661,
pl-502836,Untitled,bridge,pin,41.01855,24.03725,-30,640,0,45.1,https://pleiades.stoa.org/places/502836,
pl-501559,Phagres,settlement,pin,40.76067,23.94047,-750,-30,0,45.5,https://pleiades.stoa.org/places/501559,
pl-58683083,Sitagroi,"settlement, settlement-modern",pin,41.11139,24.02861,1700,2100,0,46.0,https://pleiades.stoa.org/places/58683083,
pl-491529,Asseros,settlement,pin,40.81222,23.00952,-30,640,0,46.1,https://pleiades.stoa.org/places/491529,
pl-501573,Podokhori,settlement,pin,40.84313,24.01112,-30,640,0,46.2,https://pleiades.stoa.org/places/501573,
pl-501630,Strymonikos Kolpos,water-open,pin,40.66667,23.83333,1700,2100,0,46.4,https://pleiades.stoa.org/places/501630,
pl-491698,Piperica,fort,pin,41.41851,23.45779,-30,300,0,46.6,https://pleiades.stoa.org/places/491698,
pl-491626,Kalimanci,settlement,pin,41.42973,23.49415,-30,640,0,47.7,https://pleiades.stoa.org/places/491626,
pl-208942265,Untitled,bridge,pin,41.03007,24.07046,-30,640,0,47.9,https://pleiades.stoa.org/places/208942265,
pl-501558,Petrovo,"fort-2, settlement-modern",pin,41.43792,23.50463,-30,2099,0,48.6,https://pleiades.stoa.org/places/501558,
pl-491669,Mygdonia,"region, label",pin,40.59512,23.26227,-550,300,0,49.2,https://pleiades.stoa.org/places/491669,
pl-501456,Kapros (island),island,pin,40.61592,23.80541,-30,2100,0,49.7,https://pleiades.stoa.org/places/501456,
pl-501551,Pangaion (mountain),mountain,pin,40.91694,24.08278,1700,2100,0,49.7,https://pleiades.stoa.org/places/501551,
pl-501421,Galepsos (Thrace),settlement,pin,40.74043,23.98602,-550,300,0,49.9,https://pleiades.stoa.org/places/501421,
pl-491623,Janovo,settlement,pin,41.45462,23.47065,-30,640,0,50.5,https://pleiades.stoa.org/places/491623,
pl-491719,Sintia,settlement,pin,41.39764,23.20740,,,0,50.5,https://pleiades.stoa.org/places/491719,
pl-491562,Charakoma,settlement,pin,40.79396,22.95999,-30,640,0,50.7,https://pleiades.stoa.org/places/491562,
pl-491581,Duodea,station,pin,40.65670,23.09866,-30,640,0,50.8,https://pleiades.stoa.org/places/491581,
pl-491754,Vranja,fort,pin,41.45659,23.42697,-30,300,0,51.0,https://pleiades.stoa.org/places/491754,
pl-501455,Kapros,settlement,pin,40.59221,23.78010,-330,300,0,51.0,https://pleiades.stoa.org/places/501455,
pl-491627,Kalindoia,"settlement, archaeological-site",pin,40.55015,23.36124,-550,-30,0,51.3,https://pleiades.stoa.org/places/491627,
pl-501625,Stageira,"settlement, archaeological-site",pin,40.59179,23.79533,-550,-30,0,51.6,https://pleiades.stoa.org/places/501625,
pl-491584,Echeidoros (river),river,pin,40.89268,22.89902,1900,2099,0,51.7,https://pleiades.stoa.org/places/491584,
pl-491632,Katunci,fort,pin,41.46608,23.47291,-30,640,0,51.8,https://pleiades.stoa.org/places/491632,
