key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-599495,Antimachia,settlement,pin,36.81129,27.09750,-750,2099,0,278.4,https://pleiades.stoa.org/places/599495,
pl-619237,Perta,settlement,pin,38.16772,33.07666,-30,640,0,278.5,https://pleiades.stoa.org/places/619237,
pl-550807,Pele (island),island,pin,38.43756,26.76193,-550,2100,0,278.7,https://pleiades.stoa.org/places/550807,
pl-550502,Chyton/Chytrion,settlement,pin,38.33789,26.74188,-550,300,0,278.8,https://pleiades.stoa.org/places/550502,
pl-511434,Terbos,settlement,pin,40.50954,30.01885,-30,300,0,278.8,https://pleiades.stoa.org/places/511434,
pl-729664549,Ilıpınar Tumulus,tumulus,pin,40.46810,29.30859,-10000,850,0,278.8,https://pleiades.stoa.org/places/729664549,
pl-550833,Pitane,settlement,pin,38.92830,26.93745,-750,640,0,278.9,https://pleiades.stoa.org/places/550833,
pl-550830,Pindasos (mountain),mountain,pin,39.36331,27.22014,-330,2100,0,279.0,https://pleiades.stoa.org/places/550830,
pl-599938,Skalia,"settlement, archaeological-site",pin,37.03750,26.95310,-550,1999,0,279.0,https://pleiades.stoa.org/places/599938,
pl-844946,*Hieronpotamon,settlement,pin,40.08267,31.69019,300,640,0,279.2,https://pleiades.stoa.org/places/844946,
pl-599684,Kalymna (island),island,pin,36.99839,26.97182,1700,2100,0,279.2,https://pleiades.stoa.org/places/599684,
pl-844935,Gordioukome/Iuliopolis,settlement,pin,40.10706,31.64500,-330,640,0,279.3,https://pleiades.stoa.org/places/844935,
pl-844864,Araunia,settlement,pin,40.03372,31.78241,300,640,0,279.4,https://pleiades.stoa.org/places/844864,
pl-511282,Kabia,settlement,pin,40.50005,30.29998,-30,1923,0,279.7,https://pleiades.stoa.org/places/511282,
pl-648763,Sariveliler,settlement,pin,36.69764,32.64005,-30,640,0,279.9,https://pleiades.stoa.org/places/648763,
pl-606349,Panormos (Kalymna),"unlocated, harbor",wash,36.99564,26.96541,-550,300,0,279.9,https://pleiades.stoa.org/places/606349,
pl-599748,Lak(e)ter Pr.,cape,pin,36.75780,27.11230,1700,2100,0,280.1,https://pleiades.stoa.org/places/599748,
pl-619108,*Anzoulada,settlement,pin,38.33904,33.07533,300,640,0,280.3,https://pleiades.stoa.org/places/619108,
pl-550917,Teuthras (mountain),"mountain, label",pin,39.21214,27.08734,-30,300,0,280.4,https://pleiades.stoa.org/places/550917,
pl-599824,Neo Karlobasi,settlement,pin,37.80391,26.70363,-550,-30,0,280.4,https://pleiades.stoa.org/places/599824,
pl-589741,Chalke (settlement),"settlement, island",pin,36.22424,27.61897,-550,2100,0,280.5,https://pleiades.stoa.org/places/589741,
pl-550419,Airai,settlement,pin,38.20396,26.70132,-550,-30,0,280.7,https://pleiades.stoa.org/places/550419,
pl-619216,Myrikion/Therma,settlement,pin,39.47533,32.50831,300,640,0,280.8,https://pleiades.stoa.org/places/619216,
pl-550674,Kyllene?/Ascanius Portus?,settlement,pin,38.74527,26.83198,-550,300,0,280.8,https://pleiades.stoa.org/places/550674,
pl-648752,Pyrgoi,settlement,pin,37.22785,32.95714,300,640,0,280.8,https://pleiades.stoa.org/places/648752,
pl-599786,Marmara,cemetery,pin,36.44249,27.36908,-550,-330,0,280.9,https://pleiades.stoa.org/places/599786,
pl-648780,Soatra/Savatra,settlement,pin,37.97515,33.11142,-330,640,0,280.9,https://pleiades.stoa.org/places/648780,
pl-579175360,Church of the Archangels at Sige,church-2,pin,40.38528,28.82708,650,2100,0,280.9,https://pleiades.stoa.org/places/579175360,
pl-589955,Netteia?,settlement,pin,36.07522,27.81334,-550,-30,0,281.0,https://pleiades.stoa.org/places/589955,
pl-599903,Pothaia,cemetery,pin,36.94441,26.98066,300,1999,0,281.0,https://pleiades.stoa.org/places/599903,
pl-599772,Livadia,fort,pin,36.42305,27.38323,-550,-30,0,281.2,https://pleiades.stoa.org/places/599772,
pl-648695,Lauzadeai,settlement,pin,36.75246,32.69779,300,640,0,281.2,https://pleiades.stoa.org/places/648695,
pl-599877,Perakastro,fort,pin,36.95067,26.96966,-550,300,0,281.5,https://pleiades.stoa.org/places/599877,
pl-550573,Hermeios Sinus,water-open,pin,38.53586,26.75491,-550,2100,0,281.5,https://pleiades.stoa.org/places/550573,
pl-550730,Meletos/Smyrnaeus Sinus,water-open,pin,38.53586,26.75491,-750,2100,0,281.5,https://pleiades.stoa.org/places/550730,
pl-599960,Telos (settlement),settlement,pin,36.46394,27.33873,-550,-30,0,281.5,https://pleiades.stoa.org/places/599960,
pl-511436,Tetrakomia,settlement,pin,40.51431,29.47451,300,640,0,281.6,https://pleiades.stoa.org/places/511436,
pl-844873,Balgatia,settlement,pin,40.15174,31.61263,300,640,0,281.9,https://pleiades.stoa.org/places/844873,
pl-511289,Kianos Sinus,water-open,pin,40.43002,28.95299,-330,2099,0,282.2,https://pleiades.stoa.org/places/511289,
pl-599560,Brouzi,cemetery,pin,37.15592,26.85587,-330,-30,0,282.3,https://pleiades.stoa.org/places/599560,
pl-599763,Leros,settlement,pin,37.15804,26.85466,-750,640,0,282.3,https://pleiades.stoa.org/places/599763,
pl-599961,Telos (island),island,pin,36.42417,27.36667,1700,2100,0,282.3,https://pleiades.stoa.org/places/599961,
pl-844925,Gallos (river),river,wash,40.50000,30.50000,-30,640,0,282.4,https://pleiades.stoa.org/places/844925,
pl-599507,"Apollo, T.","church-2, temple-2",pin,36.96545,26.95028,-750,640,0,282.4,https://pleiades.stoa.org/places/599507,
pl-599585,Damos,cemetery,pin,36.97101,26.94754,-330,300,0,282.4,https://pleiades.stoa.org/places/599585,
pl-599996,Xerokambos,fort,pin,37.11118,26.87377,-550,-30,0,282.5,https://pleiades.stoa.org/places/599996,
pl-648586,Bıçkıcı Kalesi,church,pin,36.28235,32.28411,300,640,0,282.6,https://pleiades.stoa.org/places/648586,
pl-648735,Pharax,settlement,pin,36.63160,32.62419,-30,640,0,282.6,https://pleiades.stoa.org/places/648735,
pl-599949,Sykia,settlement,pin,36.99210,26.93302,-30,1999,0,282.6,https://pleiades.stoa.org/places/599949,
pl-619226,Olympus (mountain),mountain,wash,39.75000,32.25000,-330,300,0,282.8,https://pleiades.stoa.org/places/619226,
pl-619273,Tolistoagioi/Tolistobogioi,"label, people",wash,39.75000,32.25000,-330,640,0,282.8,https://pleiades.stoa.org/places/619273,
pl-648773,Selinous (river),river,wash,36.25000,32.25000,-330,640,0,282.8,https://pleiades.stoa.org/places/648773,
pl-649302,Untitled,aqueduct,wash,36.25000,32.25000,-30,640,0,282.8,https://pleiades.stoa.org/places/649302,
pl-589742,Chalke Island,island,pin,36.22799,27.57198,-550,2100,0,283.1,https://pleiades.stoa.org/places/589742,
pl-599977,Thermai,"sanctuary, bath",pin,36.61831,27.17936,-750,300,0,283.1,https://pleiades.stoa.org/places/599977,
pl-599515,Argiai (islands),"archipelago, island",pin,37.20307,26.82109,1700,2100,0,283.5,https://pleiades.stoa.org/places/599515,
pl-550521,Drymousa (island),island,pin,38.49970,26.71951,-550,2100,0,283.7,https://pleiades.stoa.org/places/550521,
pl-648712,Mousba(n)da,settlement,pin,36.54052,32.56402,-30,640,0,283.8,https://pleiades.stoa.org/places/648712,
pl-511340,Odryses (river),river,pin,40.18344,28.21114,-330,2100,0,283.8,https://pleiades.stoa.org/places/511340,
pl-648732,Papirion/Papiriou Castellum/Cherreos Eryma,settlement,pin,36.91890,32.84092,300,640,0,283.9,https://pleiades.stoa.org/places/648732,
pl-511312,Mekestos (river),river,pin,40.27677,28.42163,-330,2100,0,283.9,https://pleiades.stoa.org/places/511312,
pl-599958,Telendos (island),island,pin,37.00618,26.90766,-30,2100,0,284.0,https://pleiades.stoa.org/places/599958,
pl-845070,Sykeon,station,pin,40.08680,31.78140,300,640,0,284.1,https://pleiades.stoa.org/places/845070,
pl-550941,Trarion,settlement,pin,39.25009,27.06351,-30,300,0,284.3,https://pleiades.stoa.org/places/550941,
pl-934416215,Archaic City Wall and Gate of Phocaea,"defensive-wall, city-gate",pin,38.66352,26.76051,-750,2099,0,284.3,https://pleiades.stoa.org/places/934416215,
pl-599475,Ag. Ioannis,fort,pin,37.71881,26.66909,-750,300,0,284.3,https://pleiades.stoa.org/places/599475,
pl-550675,Kytonion?/Kertonos?,settlement,pin,39.29156,27.09256,-550,-330,0,284.3,https://pleiades.stoa.org/places/550675,
pl-648772,Selinous/Traianopolis,settlement,pin,36.25851,32.28273,-750,640,0,284.3,https://pleiades.stoa.org/places/648772,
pl-199303735,Acropolis of Selinus,settlement,pin,36.25848,32.28277,-750,640,0,284.3,https://pleiades.stoa.org/places/199303735,
pl-599764,Leros (island),island,pin,37.15088,26.83232,-30,2100,0,284.4,https://pleiades.stoa.org/places/599764,
pl-599683,Kalydnioi (islands),"archipelago, island, label",pin,36.95999,26.92753,,,0,284.5,https://pleiades.stoa.org/places/599683,
pl-599505,Temple of Apollo Lepsios,"church-2, temple-2",pin,37.29954,26.76945,-750,2099,0,284.7,https://pleiades.stoa.org/places/599505,
pl-599760,Lepsia,settlement,pin,37.29630,26.77056,-750,640,0,284.7,https://pleiades.stoa.org/places/599760,
pl-550823,Phocaea,"settlement, settlement-modern",pin,38.67030,26.75656,-750,2100,0,284.8,https://pleiades.stoa.org/places/550823,
pl-599675,Istros (island),island,pin,36.66254,27.12117,1700,2100,0,284.8,https://pleiades.stoa.org/places/599675,
pl-511226,Daskyleion,settlement,pin,40.37765,28.67420,-550,300,0,284.9,https://pleiades.stoa.org/places/511226,
pl-511302,‘Liada’,station,pin,40.55996,29.66875,300,640,0,284.9,https://pleiades.stoa.org/places/511302,
pl-602492,Untitled,fort,pin,37.39123,26.73447,-550,300,0,285.0,https://pleiades.stoa.org/places/602492,
pl-599477,Akrite (island),island,pin,37.38587,26.73352,1700,2100,0,285.2,https://pleiades.stoa.org/places/599477,
pl-550470,Atarneus sub Pitanem,settlement,pin,38.92831,26.85959,-330,1999,0,285.2,https://pleiades.stoa.org/places/550470,
pl-599474,Ag. Ioannis,cemetery,pin,36.57832,27.18116,-750,300,0,285.4,https://pleiades.stoa.org/places/599474,
pl-599523,"Artemis Parthenos, T.",temple-2,pin,37.18953,26.80334,-750,300,0,285.4,https://pleiades.stoa.org/places/599523,
pl-648625,Dometiopolis,settlement,pin,36.75088,32.75391,-30,640,0,285.6,https://pleiades.stoa.org/places/648625,
pl-648758,Rousoumblada/Zen(on)opolis?,"settlement, settlement-modern",pin,36.67899,32.70374,300,2099,0,285.7,https://pleiades.stoa.org/places/648758,
pl-604758,Untitled,spring,pin,36.61267,27.14864,-330,300,0,285.7,https://pleiades.stoa.org/places/604758,
pl-599761,Lepsia (island),island,pin,37.30086,26.75356,1700,2100,0,285.9,https://pleiades.stoa.org/places/599761,
pl-599830,Nisyros (island),island,pin,36.58782,27.16350,-30,2100,0,286.1,https://pleiades.stoa.org/places/599830,
pl-550586,Hypokremnos,settlement,pin,38.32731,26.64918,-30,300,0,286.7,https://pleiades.stoa.org/places/550586,
pl-511225,Daskyleion,"settlement, archaeological-site",pin,40.13249,28.05074,-750,2100,0,286.7,https://pleiades.stoa.org/places/511225,
pl-550616,Kane (mountain),mountain,pin,38.96917,26.85972,-550,2100,0,286.9,https://pleiades.stoa.org/places/550616,
pl-648721,Nesiazousa Pr.,cape,pin,36.23510,32.29593,-30,2099,0,286.9,https://pleiades.stoa.org/places/648721,
pl-550757,Myrmekes,"archipelago, label, island",pin,38.61133,26.70904,-30,2100,0,287.2,https://pleiades.stoa.org/places/550757,
pl-550469,Atarneus,"settlement, archaeological-site",pin,39.09145,26.92132,-750,300,0,287.3,https://pleiades.stoa.org/places/550469,
pl-648582,Barata,settlement,pin,37.44275,33.10884,-30,1999,0,287.4,https://pleiades.stoa.org/places/648582,
pl-619168,Güzelce Kale,settlement,pin,39.32124,32.72693,-330,640,0,287.5,https://pleiades.stoa.org/places/619168,
pl-599829,Nisyros (settlement),settlement,wash,36.60600,27.13019,-750,640,0,287.5,https://pleiades.stoa.org/places/599829,
pl-574084441,"Paleokastro, Nisyros","fort-2, acropolis",pin,36.60600,27.13019,-550,-30,0,287.5,https://pleiades.stoa.org/places/574084441,
pl-648648,Ilistra,settlement,pin,37.19793,33.02717,-30,1999,0,287.7,https://pleiades.stoa.org/places/648648,
pl-599710,Kerketeus (mountain),mountain,pin,37.73403,26.62663,1700,2100,0,287.8,https://pleiades.stoa.org/places/599710,
pl-550566,Harmatos Pr.,cape,wash,38.75000,26.75000,-550,-30,0,287.8,https://pleiades.stoa.org/places/550566,
pl-511328,Mysia (region in Bythinia),"region, label",pin,40.57164,29.48024,-750,-330,0,287.8,https://pleiades.stoa.org/places/511328,
pl-609447,Lagania/Anastasioupolis,settlement,pin,40.02197,31.96225,-30,1599,0,287.9,https://pleiades.stoa.org/places/609447,
pl-317318424,Gavurkale,"hill, monument",pin,39.53130,32.55874,-2000,-1000,0,288.1,https://pleiades.stoa.org/places/317318424,
pl-599656,Hyetousa (island),"island, label",pin,37.36475,26.70444,1700,2100,0,288.3,https://pleiades.stoa.org/places/599656,
pl-599516,Argos,settlement,pin,36.57941,27.13944,-330,640,0,288.4,https://pleiades.stoa.org/places/599516,
pl-550524,Elaioussa (island),island,pin,38.91946,26.81528,-330,2100,0,288.5,https://pleiades.stoa.org/places/550524,
pl-648662,Kan(n)a,settlement,pin,37.89912,33.19751,-30,640,0,288.6,https://pleiades.stoa.org/places/648662,
pl-511303,[Libon] (mountain),"mountain, label",pin,40.60257,29.83944,1700,2100,0,288.9,https://pleiades.stoa.org/places/511303,
pl-552662,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552662,
pl-552663,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552663,
pl-552664,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552664,
pl-552665,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552665,
pl-552666,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552666,
pl-552667,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552667,
pl-552668,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552668,
pl-552669,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552669,
pl-552670,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552670,
pl-552671,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552671,
pl-552672,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552672,
pl-552673,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552673,
pl-552674,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552674,
pl-552675,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552675,
pl-552676,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552676,
pl-552677,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552677,
pl-552678,Untitled,road,wash,39.25000,27.00000,-550,-330,0,289.1,https://pleiades.stoa.org/places/552678,
pl-552680,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552680,
pl-552681,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552681,
pl-552682,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552682,
pl-552683,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552683,
pl-552684,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552684,
pl-552685,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552685,
pl-552686,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552686,
pl-552687,Untitled,road,wash,39.25000,27.00000,-30,640,0,289.1,https://pleiades.stoa.org/places/552687,
pl-511362,Phrygia,"region, label",pin,40.25849,28.24892,-550,300,0,289.3,https://pleiades.stoa.org/places/511362,
pl-619166,Girmeç,settlement,pin,39.85629,32.22808,-330,640,0,289.7,https://pleiades.stoa.org/places/619166,
pl-511368,Poimanenon,settlement,pin,40.07897,27.89230,-30,640,0,290.0,https://pleiades.stoa.org/places/511368,
pl-550704,Lysimachea?,settlement,pin,38.99717,26.83368,-330,-30,0,290.1,https://pleiades.stoa.org/places/550704,
pl-648665,Kaystros/Kestros,settlement,pin,36.22761,32.33694,-30,640,0,290.1,https://pleiades.stoa.org/places/648665,
pl-511159,Artaiouteichos,settlement,pin,40.36665,28.47839,-550,-330,0,290.6,https://pleiades.stoa.org/places/511159,
pl-511157,Arganthoneion (mountain),mountain,pin,40.61472,29.70833,-330,2100,0,290.7,https://pleiades.stoa.org/places/511157,
pl-550666,Korykos (mountain),"mountain, label",pin,38.21450,26.58627,-550,300,0,290.8,https://pleiades.stoa.org/places/550666,
pl-648767,Sbide,settlement,pin,36.71364,32.79755,-30,640,0,290.9,https://pleiades.stoa.org/places/648767,
pl-511180,Basilinoupolis,settlement,pin,40.60715,29.55862,300,1599,0,290.9,https://pleiades.stoa.org/places/511180,
pl-589827,Ixia,settlement,pin,35.92939,27.85872,-330,2099,0,291.0,https://pleiades.stoa.org/places/589827,
pl-550814,Perperene/Theodosiopolis,settlement,pin,39.24050,26.96233,-550,1999,0,291.5,https://pleiades.stoa.org/places/550814,
pl-599688,Kantharion Pr.,cape,pin,37.67600,26.59200,1700,2100,0,291.6,https://pleiades.stoa.org/places/599688,
pl-648588,Boratinon (mountain),mountain,pin,37.39941,33.14712,300,2100,0,291.7,https://pleiades.stoa.org/places/648588,
pl-550466,Astyra?,settlement,pin,39.16348,26.90674,-330,300,0,291.9,https://pleiades.stoa.org/places/550466,
pl-511140,Aigaionos Monu.,monument,pin,40.34852,28.39385,-330,-30,0,292.1,https://pleiades.stoa.org/places/511140,
pl-511422,[Sophon] (mountain),"mountain, label",pin,40.62260,30.17608,,,0,292.1,https://pleiades.stoa.org/places/511422,
pl-599680,Kalithea,settlement,pin,37.74059,26.57530,300,640,0,292.2,https://pleiades.stoa.org/places/599680,
pl-599685,Kamares,villa,pin,36.73658,26.96955,-750,300,0,292.2,https://pleiades.stoa.org/places/599685,
pl-599539,Astypalaia/Isthmos,settlement,pin,36.74699,26.95877,-750,640,0,292.5,https://pleiades.stoa.org/places/599539,
pl-648587,Binbirkilise,church,pin,37.43847,33.16741,300,640,0,292.5,https://pleiades.stoa.org/places/648587,
pl-619109,*Area,settlement,pin,39.23581,32.85599,-30,300,0,292.7,https://pleiades.stoa.org/places/619109,
pl-511304,Libum,station,pin,40.63159,29.68607,300,640,0,292.7,https://pleiades.stoa.org/places/511304,
pl-599533,Aspripetra,"sanctuary, cave",pin,36.71886,26.97410,-10000,-330,0,292.8,https://pleiades.stoa.org/places/599533,
pl-550628,Kasystes,settlement,pin,38.14839,26.55685,-30,300,0,292.9,https://pleiades.stoa.org/places/550628,
pl-599705,Kephalos,quarry,pin,36.75054,26.94894,-550,-30,0,293.0,https://pleiades.stoa.org/places/599705,
pl-735295266,Ionian League,region,wash,38.39517,26.58844,-550,-330,0,293.0,https://pleiades.stoa.org/places/735295266,
pl-550783,Okcular,fortified-settlement,pin,39.27814,26.96835,300,640,0,293.1,https://pleiades.stoa.org/places/550783,
pl-511189,Bithynia (region),"region, label",pin,40.56286,30.72018,-550,640,0,293.4,https://pleiades.stoa.org/places/511189,
pl-648583,Baş Dağ,fort,pin,37.37095,33.15904,-330,-30,0,293.5,https://pleiades.stoa.org/places/648583,
pl-845038,‘Petobrogen’,station,pin,40.05395,32.01698,300,640,0,293.7,https://pleiades.stoa.org/places/845038,
pl-550417,Aiga/Kane Pr.,cape,pin,39.02839,26.80549,-330,2100,0,293.8,https://pleiades.stoa.org/places/550417,
pl-511373,*Pratomysia,settlement,pin,40.61123,29.34391,-30,300,0,293.9,https://pleiades.stoa.org/places/511373,
pl-550449,Arginous(s)ai Inss.,"archipelago, island",pin,39.00583,26.78846,-550,2100,0,294.2,https://pleiades.stoa.org/places/550449,
pl-550467,Astyra?/Andeira?,settlement,pin,39.56018,27.17824,-750,-30,0,294.4,https://pleiades.stoa.org/places/550467,
pl-550838,*Polichna,settlement,pin,38.42915,26.57715,-550,-330,0,294.5,https://pleiades.stoa.org/places/550838,
