key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-167839,Monteils,settlement,pin,44.28263,4.41258,-330,1999,0,1121.6,https://pleiades.stoa.org/places/167839,
pl-295373,Zaouia de Sidi-Moussa,"ruin, villa",pin,36.56756,2.32414,-30,300,0,1121.8,https://pleiades.stoa.org/places/295373,
pl-599697,Kasossos,settlement,pin,37.23025,27.81249,-330,-30,0,1121.9,https://pleiades.stoa.org/places/599697,
pl-599866,Pargasa/Bargasa,settlement,pin,37.02523,27.77664,-550,300,0,1121.9,https://pleiades.stoa.org/places/599866,
pl-356547537,Sidi Ali Bou Arrar,villa,pin,36.55767,2.32414,,,0,1122.1,https://pleiades.stoa.org/places/356547537,
pl-128468,Niederleis,settlement,pin,48.55018,16.39707,-30,300,0,1122.2,https://pleiades.stoa.org/places/128468,
pl-253855601,Gard (river),river,pin,44.02265,4.17892,1700,2100,0,1122.2,https://pleiades.stoa.org/places/253855601,
pl-148159,Plan de la Tour,settlement,pin,43.84362,4.03183,-550,300,0,1122.3,https://pleiades.stoa.org/places/148159,
pl-167650,Aquae Sextiae,settlement,pin,45.68910,5.91552,-30,2100,0,1122.3,https://pleiades.stoa.org/places/167650,
pl-614234198,Arc de Campanus,"tomb, arch",pin,45.68905,5.91544,-30,300,0,1122.3,https://pleiades.stoa.org/places/614234198,
pl-246335,Cinniana,station,pin,42.06607,2.91047,-30,1999,0,1122.3,https://pleiades.stoa.org/places/246335,
pl-206927,Apulum,"settlement, fort",pin,46.06670,23.57231,-30,300,0,1122.5,https://pleiades.stoa.org/places/206927,
pl-295364,Tirmlit,villa,pin,36.57297,2.31387,-30,300,0,1122.6,https://pleiades.stoa.org/places/295364,
pl-148170,La Roque,settlement,pin,43.54506,3.79927,-550,2100,0,1122.6,https://pleiades.stoa.org/places/148170,
pl-206967,Bistra,mine,pin,46.37857,23.10219,-30,300,0,1122.6,https://pleiades.stoa.org/places/206967,
pl-177602,Penne Locos,station,pin,46.39795,6.92584,-30,640,0,1122.7,https://pleiades.stoa.org/places/177602,
pl-208943455,Untitled,tumulus,pin,38.49401,27.92505,-750,-330,0,1122.8,https://pleiades.stoa.org/places/208943455,
pl-488530237,Northern necropolis at Apulum,cemetery,pin,46.07788,23.56408,-30,300,0,1122.9,https://pleiades.stoa.org/places/488530237,
pl-128477,Oberleiserberg,fort,pin,48.55902,16.37355,-330,640,0,1122.9,https://pleiades.stoa.org/places/128477,
